v_model_name,v_model_id
Ocean,10159
Testing 1,10128
Testing 2,10121
testing 3,10078
Altoo,10071
Wagon cl,10070
2.0 Diesel R-Dynamic SE,10068
testing2,10067
Wagon c,10066
Wagon Rrr,10059
S-Pressoi,10058
Celerio12,10052
metestmee,10037
testt,10036
rr test,10030
unit 4,10025
test car,10022
tata test,10021
ravi test,10020
test,10019
kkkkkkk,9975
angiee,9974
test ko,9973
ja test,9972
ya,9971
ttttkkk,9970
unit test 21,9966
unit test 2222,9965
kkkk,9964
jjj,9963
ravvv11testing,9961
ravitest,9960
ravi testing,9959
hhahhh,9958
testing ravi1288888888,9957
rammm,9956
720S,9955
unit test 221,9953
ravitest2,9952
bunty,9951
rarrr,9950
dfjjbjkl,9948
alltoo,9947
ravi,9946
testing ravi12,9944
ravitetst,9943
aaaa,9939
daddd,9938
jssjbjk,9935
uuuuuuuu,9933
ssss,9932
zzzzz,9931
ABC,9929
pratap singh,9928
testing ravi,9911
ABCH,9900
jj,9898
hastah,9893
jksjjkjjk44,9889
jksjjk,9883
fordnew,9881
hhhh,9880
mahithahar,9879
newbmw,9878
dddd,9877
trrraari,9876
ut111,9874
testing3,9873
fvbdddd,9799
cvcccc,9798
automation testing,9783
testing 52,9782
qqqqqqqqqqqqqq,9776
testing1,9774
sonet ev,9719
Vision Avatar,9704
Dezir,9702
ravitest22222,9617
tetsing,9532
296 GTB,9530
Qute (RE60),9479
GT,9456
EaS-E,9268
Compass Trailhawk,8392
Cooper SE,7682
Xpres-T EV,7591
John Cooper Works,7368
Octavia,5953
R3,5952
Roma,5651
F8 Tributo,5650
SF90 Stradale,5649
Carnival,3226
Dawn,978
Ghost,977
Wraith,975
Fortuner new,752
Rio,592
Panamera,583
Taycan,580
Macan,574
Kicks,559
GranCabrio,510
Levante,509
RX,492
Discovery,467
Aventador,463
Huracan EVO,460
Extreme,416
812,269
Bentayga,212
Continental GT,210
Continental Flying Spur,207
R8,199
DB 11,149
Vantage,148
